time,subregion,parent,value
2019-11-16T12,SDGE,CISO,2065.22834371529
2019-11-16T13,SDGE,CISO,2022.8535172492
2019-11-16T14,SDGE,CISO,1939.38624465135
2019-11-16T15,SDGE,CISO,1840.06307044685
2019-11-16T16,SDGE,CISO,1752.73945110457
2019-11-16T17,SDGE,CISO,1700.3274423073
2019-11-16T18,SDGE,CISO,1694.67758878503
2019-11-16T19,SDGE,CISO,1733.54296624432
2019-11-16T20,SDGE,CISO,1801.42956237349
2019-11-16T21,SDGE,CISO,1874.08849340062
2019-11-16T22,SDGE,CISO,1925.42341117646
2019-11-16T23,SDGE,CISO,1934.93446677186
2019-11-17T00,SDGE,CISO,1893.67342523965
2019-11-17T01,SDGE,CISO,1807.08255594412
2019-11-17T02,SDGE,CISO,1693.92621736327
2019-11-17T03,SDGE,CISO,1581.57448191811
2019-11-17T04,SDGE,CISO,1498.88102424617
2019-11-17T05,SDGE,CISO,1468.54908237745
2019-11-17T06,SDGE,CISO,1501.02448907116
2019-11-17T07,SDGE,CISO,1591.55405515779
2019-11-17T08,SDGE,CISO,1721.20770554242
2019-11-17T09,SDGE,CISO,1861.60815958861
2019-11-17T10,SDGE,CISO,1982.12466464076
2019-11-17T11,SDGE,CISO,2057.63146883974
2019-11-17T12,SDGE,CISO,2074.78282241774
2019-11-17T13,SDGE,CISO,2035.1541133812
2019-11-17T14,SDGE,CISO,1954.43671629021
2019-11-17T15,SDGE,CISO,1857.9278926148
2019-11-17T16,SDGE,CISO,1773.54454372638
2019-11-17T17,SDGE,CISO,1724.24654432428
2019-11-17T18,SDGE,CISO,1721.90616322067
2019-11-17T19,SDGE,CISO,1764.26476195822
2019-11-17T20,SDGE,CISO,1835.78295318998
2019-11-17T21,SDGE,CISO,1912.13992674787
2019-11-17T22,SDGE,CISO,1967.1536587666
2019-11-17T23,SDGE,CISO,1980.2403006363
2019-11-18T00,SDGE,CISO,1942.38364232778
2019-11-18T01,SDGE,CISO,1858.98390687565
2019-11-18T02,SDGE,CISO,1748.79263123373
2019-11-18T03,SDGE,CISO,1639.19256697777
2019-11-18T04,SDGE,CISO,1559.06624281469
2019-11-18T05,SDGE,CISO,1531.14983862865
2019-11-18T06,SDGE,CISO,1565.91484507771
2019-11-18T07,SDGE,CISO,1658.61895451439
2019-11-18T08,SDGE,CISO,1790.32657757167
2019-11-18T09,SDGE,CISO,1932.64306589904
2019-11-18T10,SDGE,CISO,2054.91766538107
2019-11-18T11,SDGE,CISO,2132.01304440383
2019-11-18T12,SDGE,CISO,2150.58977519642
2019-11-18T13,SDGE,CISO,2112.25233955236
2019-11-18T14,SDGE,CISO,2032.74242816198
2019-11-18T15,SDGE,CISO,1937.4208084842
2019-11-18T16,SDGE,CISO,1854.26829524126
2019-11-18T17,SDGE,CISO,1806.29464536545
2019-11-18T18,SDGE,CISO,1805.39553230235
2019-11-18T19,SDGE,CISO,1849.302028506
2019-11-18T20,SDGE,CISO,1922.43074430897
2019-11-18T21,SDGE,CISO,2000.39049499392
2019-11-18T22,SDGE,CISO,2056.91551764559
2019-11-18T23,SDGE,CISO,2071.34041845166
2019-11-19T00,SDGE,CISO,2034.58401724278
2019-11-19T01,SDGE,CISO,1952.00797682925
2019-11-19T02,SDGE,CISO,1842.35483295409
2019-11-19T03,SDGE,CISO,1733.02398947198
2019-11-19T04,SDGE,CISO,1652.93078945027
2019-11-19T05,SDGE,CISO,1624.84819570991
2019-11-19T06,SDGE,CISO,1659.27705671214
2019-11-19T07,SDGE,CISO,1751.48956764589
2019-11-19T08,SDGE,CISO,1882.54829017654
2019-11-19T09,SDGE,CISO,2024.04505785158
2019-11-19T10,SDGE,CISO,2145.31325901905
2019-11-19T11,SDGE,CISO,2221.20845990287
2019-11-19T12,SDGE,CISO,2238.40231356419
2019-11-19T13,SDGE,CISO,2198.53329580844
2019-11-19T14,SDGE,CISO,2117.39825705143
2019-11-19T15,SDGE,CISO,2020.42604829898
2019-11-19T16,SDGE,CISO,1935.66554043007
2019-11-19T17,SDGE,CISO,1886.17999623092
2019-11-19T18,SDGE,CISO,1883.89162147753
2019-11-19T19,SDGE,CISO,1926.52395906201
2019-11-19T20,SDGE,CISO,1998.45221133108
2019-11-19T21,SDGE,CISO,2075.21747844036
2019-11-19T22,SDGE,CISO,2130.47318624781
2019-11-19T23,SDGE,CISO,2143.47572164894
2019-11-20T00,SDGE,CISO,2105.08268721988
2019-11-20T01,SDGE,CISO,2020.62129249138
2019-11-20T02,SDGE,CISO,1908.82938314831
2019-11-20T03,SDGE,CISO,1797.12734751172
2019-11-20T04,SDGE,CISO,1714.46753005873
2019-11-20T05,SDGE,CISO,1683.6636126369
2019-11-20T06,SDGE,CISO,1715.24946590415
2019-11-20T07,SDGE,CISO,1804.51524456596
2019-11-20T08,SDGE,CISO,1932.5250339362
2019-11-20T09,SDGE,CISO,2070.86057875984
2019-11-20T10,SDGE,CISO,2188.84300557421
2019-11-20T11,SDGE,CISO,2261.32457922686
2019-11-20T12,SDGE,CISO,2274.99198628748
2019-11-20T13,SDGE,CISO,2231.52166106838
2019-11-20T14,SDGE,CISO,2146.76939279218
2019-11-20T15,SDGE,CISO,2046.23550235478
2019-11-20T16,SDGE,CISO,1958.03974506646
2019-11-20T17,SDGE,CISO,1905.30107973278
2019-11-20T18,SDGE,CISO,1899.96982465453
2019-11-20T19,SDGE,CISO,1939.76309587215
2019-11-20T20,SDGE,CISO,2009.01551996697
2019-11-20T21,SDGE,CISO,2083.20127690074
2019-11-20T22,SDGE,CISO,2135.89394401048
2019-11-20T23,SDGE,CISO,2146.2729498618
2019-11-21T00,SDGE,CISO,2105.13626820813
2019-11-21T01,SDGE,CISO,2017.77849873736
2019-11-21T02,SDGE,CISO,1902.93474681144
2019-11-21T03,SDGE,CISO,1788.04826030632
2019-11-21T04,SDGE,CISO,1702.11002280605
2019-11-21T05,SDGE,CISO,1667.97573412123
2019-11-21T06,SDGE,CISO,1696.21323161064
2019-11-21T07,SDGE,CISO,1782.13128870333
2019-11-21T08,SDGE,CISO,1906.79601666982
2019-11-21T09,SDGE,CISO,2041.77956163967
2019-11-21T10,SDGE,CISO,2156.3913794071
2019-11-21T11,SDGE,CISO,2225.48116673911
2019-11-21T12,SDGE,CISO,2235.75146868139
2019-11-21T13,SDGE,CISO,2188.91745766623
2019-11-21T14,SDGE,CISO,2100.89440270763
2019-11-21T15,SDGE,CISO,1997.25419477125
2019-11-21T16,SDGE,CISO,1906.18697397644
2019-11-21T17,SDGE,CISO,1850.86622290109
2019-11-21T18,SDGE,CISO,1843.26856320674
2019-11-21T19,SDGE,CISO,1881.102377778
2019-11-21T20,SDGE,CISO,1948.65912741702
2019-11-21T21,SDGE,CISO,2021.34343657849
2019-11-21T22,SDGE,CISO,2072.646562426
2019-11-21T23,SDGE,CISO,2081.66880051016
2019-11-22T00,SDGE,CISO,2039.14664948097
2019-11-22T01,SDGE,CISO,1950.34051106554
2019-11-22T02,SDGE,CISO,1833.98127442732
2019-11-22T03,SDGE,CISO,1717.5335061503
2019-11-22T04,SDGE,CISO,1630.02506515053
2019-11-22T05,SDGE,CISO,1594.35158679008
2019-11-22T06,SDGE,CISO,1621.1124645255
2019-11-22T07,SDGE,CISO,1705.63242689443
